Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,,,,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.156682,3498.03679,4217.173581,5342.357791,6321.023795,7168.86753,7151.474926,7751.843307,9127.271308,11820.5099,12378.78451,10371.67968,9610.757731,8023.636458,7729.26867,7774.916806,10362.26151,12615.38651,14305.20789,15166.14869,18877.81332,19531.50621,20542.13045,16507.80708,16227.04203,18459.9084,19037.58468,18404.55941,18969.64059,19324.45419,21432.97646,21897.85889,24174.27319,31744.2168,37233.8319,39991.32507,42419.40189,47255.95521,46734.26828,42704.01943,39641.74601,41627.463,39666.04304,42804.20264,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.78768062,59.89003704,58.50599499,78.80258689,82.23139445,101.321627,137.946783,161.3847017,129.5623184,129.8573781,157.2584607,160.4431517,136.1756113,144.1739444,175.0270977,188.0851361,199.1648093,226.1964266,249.5737099,278.39063,275.6498187,267.6624236,,,,,,,,,,,,,,,,,,,,119.8990188,192.153653,203.6508332,224.9148691,257.1756945,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,653.3474881,633.9478643,594.3230812,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,686.3847877,667.314785,650.3160122,634.331352,927.2204264,901.6500746,,,,490.3354813,374.101868,560.6755166,554.2522329,454.2965495,421.3767773,606.2722922,574.1941611,775.7655185,850.0756941,1135.604564,1576.162801,2253.83885,3151.022431,4242.363062,3678.947654,3886.479354,4744.987629,5086.848426,5327.148892,5232.7623,4101.472152,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.839852,4412.345578,4568.568827,3945.217582,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,222.8150148,239.1779066,256.859954,290.2502881,336.1338066,415.6566413,772.4924339,829.8857684,1001.604063,1120.087261,1188.978116,1558.563686,2052.633932,2050.40747,1849.869222,1682.171801,1654.718341,1585.587937,1464.917733,1540.659005,1473.771568,1503.68016,2007.892039,1923.349157,2023.714015,1993.312272,1987.159866,2069.891906,2233.825237,2317.83728,2188.613966,2334.253754,2608.724875,2513.49392,2481.059347,2741.848818,3145.88152,3779.657697,4375.423537,4980.961193,6167.539396,5203.420168,5957.989009,6917.111415,7412.930242,7518.692984,7521.043673,6545.217753,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27708.71882,30886.5715,34407.9817,28735.80396,33673.41982,42878.85535,45131.33573,40244.83749,35135.86868,32655.37191,30067.13419,23727.69882,23953.34057,22476.97149,24218.55277,27989.3013,26945.65915,26864.18811,26141.33065,26495.82156,27973.74282,29813.37231,30378.54534,27681.31053,29278.76862,34207.53895,32105.64787,32355.4096,34294.894,37179.68189,40298.52422,42950.10058,42913.78403,45720.0179,32905.05385,34341.91129,39901.22092,41712.39795,42986.66461,44238.59977,40438.76293,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,683.1772883,1121.190186,1875.575007,2542.185937,1860.812377,1932.590654,2112.501003,2129.313736,2501.481162,2738.28456,2756.396707,2907.757348,3530.131681,2643.369066,2909.516728,3595.086186,3546.718792,3969.327692,2375.339253,4318.774568,5715.504052,6798.027167,6940.351375,7449.480605,7373.427403,7683.573848,8172.665235,8248.76472,7736.372578,7669.273709,7170.689698,2579.188199,3330.42866,4251.565347,5096.258332,5904.678132,7226.270295,8992.589619,8198.566111,10332.03237,12800.20186,13040.3064,13027.20482,12324.93879,13431.87834,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3565.517575,3716.828923,3861.91557,3489.12769,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,941.9199471,1061.660458,1307.396436,1565.648663,1784.41524,2000.752021,2255.369057,2595.02432,3070.439325,3806.149621,4512.539759,5415.847905,6025.847688,6325.241017,6575.480499,6680.37587,7037.939154,7514.48368,7230.320637,7702.670284,8027.631131,8355.618643,8572.373481,10094.75906,9797.968713,10027.85622,10382.6309,10993.36925,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157,13525.61622,13342.085,13432.07921,13714.73196,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1806.804876,1873.450092,1851.007782,1963.229966,2127.165739,2276.574953,2338.900693,2574.67089,2718.124172,2985.122962,3297.783659,3487.614924,3940.861981,4759.98962,6469.083983,6987.820995,7469.203191,7757.715574,8233.591804,9272.757382,10186.12824,11826.0429,12758.67103,11510.14325,12429.09098,11434.35444,11361.27002,11625.55676,14261.33519,17810.95361,18221.69121,18836.78058,18591.22052,17657.24424,18079.26394,20360.18221,21917.71922,23522.77877,21340.06211,20536.41231,21665.11545,19495.14593,20059.45207,23440.00532,30440.85488,33982.95043,36084.85898,40957.83044,49628.11513,42715.13226,51845.65486,62216.54713,67646.10385,67652.68321,61995.8297,56310.96299,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2053.809514,2375.242674,2917.004844,3881.349717,4619.601728,5272.887682,5664.707422,6794.220945,8185.701971,9770.17215,10843.36172,9362.639985,9387.677728,9514.431834,8969.405618,9150.001211,13051.55561,16353.27943,17536.27209,17426.86354,21628.76023,22356.92392,24820.22783,24023.51547,25584.91782,30252.79469,29742.42881,26646.88394,27289.63071,27116.67608,24517.26745,24489.73553,26351.37568,32102.93055,36693.40262,38242.04252,40430.99361,46586.65025,51386.37665,47654.18721,46659.84082,51123.56133,48333.57273,50504.71532,51322.63997,43774.98517,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6712504,763.1012122,883.614009,1045.026415,1578.36733,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7393.771877,7811.621418,7886.459144,5496.34464,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.33307377,71.46943344,73.76032765,78.87416089,86.5716237,51.63793676,52.45748852,55.11290688,55.22538559,56.05911385,70.21250721,72.08427138,69.57464447,84.94108756,95.27524766,114.4921667,119.7461032,143.1284396,155.7545755,194.7028813,222.8806155,228.5663698,232.4372253,241.3683339,213.454202,240.8707878,243.4402474,221.4835184,204.8387173,204.2220618,201.6876563,202.6934403,183.7173204,155.9216027,150.8028052,160.3499893,137.2141027,151.5321043,137.2515028,121.9977308,128.6355365,126.2170813,115.2798803,106.0169747,119.460135,140.8151356,154.9245257,159.2654713,182.6878013,190.3942037,214.2309908,240.6144835,244.1964862,259.3652082,286.0023359,277.0683092,
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2780.696187,3099.430158,3852.141729,4927.195923,5764.489883,6737.248251,7281.817735,8472.054468,10344.84713,11873.8354,12932.8606,10679.66389,9393.876692,8893.58613,8502.538597,8797.659679,12235.18414,15216.87102,16478.83159,16613.51665,20710.64434,21154.29184,23497.72741,22403.21682,24338.1377,28565.91915,27701.90329,25027.74459,25541.67472,25444.13926,23207.40591,23121.60114,25052.33939,30743.90254,35589.68912,36967.25918,38852.37293,44403.7669,48424.5756,44880.57302,44382.81899,47699.8448,44740.58325,46508.11872,47346.79282,40324.02777,
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,93.0225855,95.56692267,94.45185534,99.84042467,104.3237522,110.1326265,112.9735639,112.0276575,117.0224598,116.1884949,114.7366789,112.7455004,135.0086865,162.1749308,174.1707021,207.4405901,208.7604351,218.5292787,263.6310316,327.8232181,377.9565563,337.7944478,322.4787609,270.7671181,252.43564,243.9114892,302.6655734,343.6791223,345.8092868,310.6327253,391.8934294,383.2953743,315.2183091,407.4501585,276.1591189,362.4709683,382.2854633,356.5782436,375.0240904,399.0492558,369.7008681,373.5536136,411.9590753,509.4610887,570.6855013,587.0802124,609.0186087,685.5516751,794.8701761,768.0134764,732.9536227,799.0355591,811.2162408,887.0899667,915.9266408,762.0512054,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,68.42470606,71.55820933,76.52062683,78.37211871,80.47273518,81.72513129,82.54563689,84.36314915,84.73306494,86.52024241,81.49994215,84.28784447,99.32679813,113.7805076,124.3589687,152.7281457,155.648998,176.7833124,225.9416179,262.0758918,282.6858596,254.2308535,245.0946682,217.9946915,193.8431888,200.8942925,256.7624483,291.1318566,313.0618536,304.8533677,351.9793628,346.4104428,240.9634032,244.1271502,193.0702756,235.832244,249.3587559,229.4880613,255.709631,265.1550248,226.4759423,235.4817514,260.9837492,323.9625643,371.4970215,406.673556,422.4223375,474.08854,567.7341867,537.2634287,575.0118818,667.1734195,673.0625112,698.3350349,696.8562068,589.7744141,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,88.68945339,97.14114749,99.57580239,101.2601481,99.50333117,105.7873098,111.653724,121.6526563,121.5169649,133.5645355,138.245986,131.7702327,93.05100245,117.7819065,179.1641755,272.9701785,138.7232244,128.942513,172.6062003,196.6780059,222.9242646,242.2224312,215.7421858,199.6916194,208.9325984,239.5138363,227.8791364,247.5620475,263.7341157,278.3516037,298.144992,285.296976,285.6978098,292.3645263,291.3258679,320.3619277,383.8299551,390.4079054,396.1696495,398.2295463,406.5317405,403.5945462,401.7081533,434.0465632,462.2748798,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1086.800087,1211.701531,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,1554.046931,1208.850233,1346.91277,1771.993943,1643.609895,1609.280586,1762.455968,2079.228975,2693.75876,3353.564149,3852.977756,4455.690224,5932.899677,7296.122479,6955.987733,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191,6993.47736,
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8537.597258,9269.145737,9446.158002,9421.452005,9590.777305,8706.828878,7041.48825,7554.71345,7958.114968,8030.253675,8528.759767,9057.563375,9088.63129,9707.566955,10138.47459,10376.36425,10523.08152,10620.34343,10005.23675,10330.73654,13590.52105,12917.3955,13279.0458,14541.61605,16275.18042,18418.07267,19669.31955,21167.61871,23043.02532,19166.70824,20386.01756,22033.91062,23057.76758,24113.52484,24514.99913,22600.2141,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.352625,1651.475477,1752.970293,1867.142314,1994.559838,2144.907546,2322.975595,2556.86881,2804.669769,3215.447518,3179.238726,3297.923125,3322.574841,3696.642772,3416.586979,3156.468059,3328.581426,3617.122739,4130.791867,5531.98973,6338.649957,6622.439695,7165.134491,7695.006328,8873.730523,9888.615756,10339.47778,11150.78166,11381.95948,12157.7892,12350.88048,11914.81213,11682.12886,11402.65152,11812.12238,12239.82781,12717.06038,17288.05651,18456.99077,20505.94743,21241.16539,21497.30816,22505.40479,22008.4337,21995.51992,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22554.51572,22554.45412,22497.44971,22817.23086,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.5596047,481.1650399,731.1209512,971.5460643,1090.257056,1238.173385,1451.664002,1512.993014,1746.486383,2192.647078,2619.753258,2928.26359,3351.9634,4107.996232,4974.662267,4586.206313,4475.08813,4860.781811,4494.64064,4748.040692,4852.318649,4249.330313,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.586203,4735.956889,6376.173115,5176.044701,5818.854859,6305.773662,6721.834908,7722.123351,8025.304356,5740.456495,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,304.9038598,316.4102883,327.1100726,336.9347385,351.1577193,377.5871889,406.1091089,420.4057742,386.953237,396.6576322,435.7011674,474.4480181,519.5716802,605.9334407,786.0750786,885.9778806,717.0507943,858.8155426,980.7731054,1074.249158,1351.013867,1307.211688,1183.183936,1212.938005,1315.313517,1268.221398,1343.69287,1586.395604,1758.972211,1979.342672,2202.322556,2326.833728,2666.922772,2833.075677,2880.154008,2996.397406,3001.693234,2952.575494,2991.860011,3065.517898,3364.464523,3419.208672,3556.616082,3679.882136,3831.593484,3933.30443,4187.320426,4324.934389,4473.417909,4263.807112,4348.019539,4522.861862,4674.293447,4723.594355,4884.368562,4878.721267,
